DummyID,StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,slant_K12,polit_K12,slant_Cong,polit_Cong,slant_fire,polit_fire,slant_journ,polit_journ,slant_WHO,polit_WHO,slant_rang,polit_rang,slant_phys,polit_phys,slant_ASPCA,polit_ASPCA,slant_dent,polit_dent,slant_prof,polit_prof,slant_police,polit_police,slant_poll,polit_poll,slant_SC,polit_SC,slant_doc,polit_doc,slant_law,polit_law,slant_USPS,polit_USPS,slant_econ,polit_econ,slant_pharm,polit_pharm,slant_sci,polit_sci,slant_MLB,polit_MLB,Trust_K12,Trust_Cong,Trust_fire,Trust_journ,Trust_WHO,Trust_rang,Trust_phys,Trust_ASPCA,Trust_dent,Trust_prof,Trust_police,Trust_poll,Trust_SC,Trust_doc,Trust_law,Trust_USPS,Trust_econ,Trust_pharm,Trust_sci,Trust_MLB,slant_mech,polit_mech,slant_chefs,polit_chefs,slant_lib,polit_lib,slant_church,polit_church,slant_vet,polit_vet,slant_tailor,polit_tailor,slant_UN,polit_UN,slant_psych,polit_psych,slant_bank,polit_bank,slant_holly,polit_holly,slant_judge,polit_judge,slant_crim,polit_crim,slant_toll,polit_toll,slant_NFL,polit_NFL,slant_CIA,polit_CIA,slant_realestate,polit_realestate,slant_localbiz,polit_localbiz,slant_think,polit_think,slant_FB,polit_FB,slant_PETA,polit_PETA,Trust_mech,Trust_chefs,Trust_lib,Trust_church,Trust_vet,Trust_tailor,Trust_UN,Trust_psych,Trust_bank,Trust_holly,Trust_judge,Trust_crim,Trust_toll,Trust_NFL,Trust_CIA,Trust_realestate,Trust_localbiz,Trust_think,Trust_FB,Trust_PETA,Ideology,PolParty,Gender__1,Gender__2,Gender__3,Gender__4,Gender__5,Gender__5_TEXT,Age,Race__1,Race__2,Race__3,Race__4,Race__5,Race__6,Race__7,Race__8,Race__9,Education_,Open_,Ideo2,Zslant_police,Zpolit_police,ZIdeology,PoliceCongruence,PoliceCong2,ZSlant_K12,ZPolit_K12,K12Congruence,K12Cong2,IdeoXK12Slant,IdeoXK12Polit,K12SlantXK12Polit,IdeoXK12SlantXK12Polit,IdeoXPOLICESlant,IdeoXPOLICEPolit,POLICESlantXPOLICEPolit,IdeoXPOLICESlantXPOLICEPolit,ZSco01,ZSco02,ZSlant_Cong,Zslant_fire,Zslant_journ,Zslant_WHO,Zslant_rang,Zslant_phys,Zslant_ASPCA,Zslant_dent,Zslant_prof,ZSco03,Zslant_poll,Zslant_SC,Zslant_doc,Zslant_law,Zslant_USPS,Zslant_econ,Zslant_pharm,Zslant_sci,Zslant_MLB,Zslant_mech,Zslant_chefs,Zslant_lib,Zslant_church,Zslant_vet,Zslant_tailor,Zslant_UN,Zslant_psych,Zslant_bank,Zslant_holly,Zslant_judge,Zslant_crim,Zslant_toll,Zslant_NFL,Zslant_CIA,Zslant_realestate,Zslant_localbiz,Zslant_think,Zslant_FB,Zslant_PETA,ZSco04,ZPolit_Cong,Zpolit_fire,Zpolit_journ,Zpolit_WHO,Zpolit_rang,Zpolit_phys,Zpolit_ASPCA,Zpolit_dent,Zpolit_prof,ZSco05,Zpolit_poll,Zpolit_SC,Zpolit_doc,Zpolit_law,Zpolit_USPS,Zpolit_econ,Zpolit_pharm,Zpolit_sci,Zpolit_MLB,Zpolit_mech,Zpolit_chefs,Zpolit_lib,Zpolit_church,Zpolit_vet,Zpolit_tailor,Zpolit_UN,Zpolit_psych,Zpolit_bank,Zpolit_holly,Zpolit_judge,Zpolit_crim,Zpolit_toll,Zpolit_NFL,Zpolit_CIA,Zpolit_realestate,Zpolit_localbiz,Zpolit_think,Zpolit_FB,Zpolit_PETA,IdeoXWHOSlant,IdeoXWHOPolit,WHOSlantXWHOPolit,IdeoXWHOSlantXWHOPolit,IdeoXCONGSlant,IdeoXCONGPolit,CONGSlantXCONGPolit,IdeoXCONGSlantXCONGPolit,IdeoXFIRESlant,IdeoXFIREPolit,FIRESlantXFIREPolit,IdeoXFIRESlantXFIREPolit,IdeoXJOURNSlant,IdeoXJOURNPolit,JOURNSlantXJOURNPolit,IdeoXJOURNSlantXJOURNPolit,IdeoXRANGSlant,IdeoXRANGPolit,RANGSlantXRANGPolit,IdeoXRANGSlantXRANGPolit,IdeoXPHYSSlant,IdeoXPHYSPolit,PHYSSlantXPHYSPolit,IdeoXPHYSSlantXPHYSPolit,IdeoXASPCASlant,IdeoXASPCAPolit,ASPCASlantXASPCAPolit,IdeoXASPCASlantXASPCAPolit,IdeoXDENTSlant,IdeoXDENTPolit,DENTSlantXDENTPolit,IdeoXDENTSlantXDENTPolit,IdeoXPROFSlant,IdeoXPROFPolit,PROFSlantXPROFPolit,IdeoXPROFSlantXPROFPolit,IdeoXSCSlant,IdeoXSCPolit,SCSlantXSCPolit,IdeoXSCSlantXSCPolit
0,9/14/22 12:25,9/14/22 12:33,0,100,450,1,9/14/22 12:33,40,2,40,6,70,1,15,5,30,1,40,1,10,1,30,3,50,1,30,4,90,5,50,3,80,6,50,3,50,3,30,1,60,4,85,4,10,3,75,1,4,1,7,4,7,7,7,5,4,3,1,3,1,3,3,7,3,2,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,,,,37,1,1,,,1,,,,,3,,0,1.172157019,0.796882963,-1.358965911,-1.592921431,0,0.255859281,-1.199590822,-0.347704041,0,-0.347704041,1.630203034,-0.306926446,0.417102577,-1.592921431,-1.082936782,0.934071959,-1.26937195,-1.358965911,0.255859281,-0.563093669,0.619940536,-1.151656142,-0.180703286,-0.793329861,-1.935611646,-0.227939275,-0.346245131,-0.056638449,1.172157019,0.496482721,0.964060159,0.087345295,-0.026222605,-1.422997397,0.488669619,1.273858314,-1.735464137,1.397938451,,,,,,,,,,,,,,,,,,,,,-1.199590822,0.574276608,-0.847634748,0.196016805,-1.687872153,-0.989244028,-0.970237097,0.10019155,-0.738829062,0.016165687,0.796882963,-0.549954194,0.729058125,0.332882227,-0.356467503,-0.73603238,0.436161254,0.167810002,0.062330498,-0.76077309,,,,,,,,,,,,,,,,,,,,,0.245569605,2.293760717,0.305004044,-0.414490098,0.7652251,-0.780422334,-0.323371522,0.439450875,-0.842478055,1.151906728,-0.52548314,0.714113674,1.565061438,-0.266380156,-0.225743957,0.306778343,1.078108238,1.344348911,0.784796828,-1.066512136,2.630430243,1.318519141,1.878002225,-2.552141004,0.309761704,-0.136156901,-0.022837589,0.031035505,0.47053533,1.004043509,0.255815966,-0.347645177,0.076969722,-0.021968617,-0.000915599,0.001244268,-1.310124892,-0.990765139,0.702855892,-0.955157197
1,9/14/22 12:30,9/14/22 12:35,0,100,324,1,9/14/22 12:35,28,6,30,6,70,5,18,6,0,6,63,5,49,3,49,3,58,2,0,6,85,4,0,6,62,2,38,3,50,1,53,1,50,2,0,6,41,4,45,3,2,1,4,1,1,4,5,2,3,1,2,1,4,4,1,3,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,,,,,,36,1,,,,,,,,,5,,1,0.86891144,0.136730589,0.991182885,0.861250148,1,-0.502514991,1.736437407,-0.498084259,0,-0.498084259,1.721127039,-0.872585829,-0.864892139,0.861250148,0.13552502,0.118806773,0.11775924,0.991182885,-0.502514991,-1.243489314,0.619940536,-0.970862705,-1.844178419,0.684571928,0.596026757,0.823303052,0.411204395,-1.750310788,0.86891144,-3.048183654,-0.160070366,-0.856900635,-0.026222605,0.452256173,-0.142860754,-2.373573129,0.29086582,-0.684479907,,,,,,,,,,,,,,,,,,,,,1.736437407,0.574276608,2.598669689,1.037255593,1.446457746,2.297599033,0.620231142,0.10019155,0.275829516,1.443364876,0.136730589,1.403331393,-2.206172632,0.332882227,-1.825113615,-0.73603238,-1.069691566,1.432524408,0.726472704,1.020127552,,,,,,,,,,,,,,,,,,,,,-1.827918085,1.433704162,-2.667526159,-2.644006274,-1.232525326,0.569213146,-0.714106826,-0.707810464,0.614474449,2.575756919,1.61102068,1.596816125,-0.962302497,1.028109991,-1.007032771,-0.998153647,0.678535978,2.277340838,1.572871799,1.559003607,0.59077152,0.614762492,0.369674356,0.366414895,0.816043894,0.09930815,0.082488009,0.081760703,0.407578759,0.273397496,0.113422309,0.112422252,-1.734878097,1.430638562,-2.526337114,-2.504062109,-0.158659007,-2.186720554,0.353142861,0.350029159
2,9/14/22 12:29,9/14/22 12:38,0,100,543,1,9/14/22 12:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,1,19,2,24,3,94,5,69,1,28,2,50,3,36,3,77,4,9,5,50,3,56,2,21,1,41,1,73,2,61,2,76,2,42,2,33,3,21,3,4,4,4,2,5,5,4,4,4,5,2,3,4,3,3,5,5,4,3,3,5,1,,1,,,,,54,1,,,,,,,,,5,,1,,,0.521153126,,,,,,,,,,,,,,,0.521153126,,,,,,,,,,,,,,,,,,,,,0.463878915,-1.71680567,-0.578426697,0.965750214,1.810221941,-1.682752384,0.653012601,0.117871954,0.671509057,-0.704799649,-0.419942963,-0.081795892,-2.306609907,-0.283090871,0.989930858,0.528500214,1.339452323,-0.269465207,-0.155879934,-0.165131176,,,,,,,,,,,,,,,,,,,,,-0.932692561,0.042614396,0.144725494,0.413498356,-0.738448022,0.315779447,-1.3334082,-0.016548244,0.36800606,0.464989494,-1.022744871,-1.814295473,-0.5272441,-1.225476206,-1.225201447,-0.302316895,-0.797506662,-1.065601622,-1.051804403,-0.809126128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9/14/22 12:44,9/14/22 12:47,0,100,192,1,9/14/22 12:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,4,25,2,20,5,70,6,50,2,50,2,35,5,50,4,80,5,20,6,70,6,80,6,50,1,35,2,75,5,50,3,50,3,50,5,50,4,15,5,4,4,7,3,7,5,7,7,3,3,2,2,4,2,4,4,4,4,1,1,2,3,,1,,,,,41,1,1,,,,,,,,6,,0,,,-0.888936152,,,,,,,,,,,,,,,-0.888936152,,,,,,,,,,,,,,,,,,,,,-0.130194706,-1.249968344,-0.776322195,-0.258131378,0.419778883,0.216213297,-0.173347121,1.052583499,0.819253883,-0.132107538,1.032704809,1.163394459,0.147470877,-0.581405164,1.083657542,-0.290565973,-0.58761507,0.21114957,0.54970322,-0.43793084,,,,,,,,,,,,,,,,,,,,,1.462337921,0.042614396,1.606215723,1.10718139,0.202230579,0.315779447,0.163324222,0.706846408,0.988763534,1.154611594,1.193603426,1.136638091,-0.5272441,-0.503362588,0.693864085,0.5118172,-0.012780555,0.755213024,-0.295589059,0.442267934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9/14/22 12:43,9/14/22 12:52,0,100,518,1,9/14/22 12:52,18,5,40,6,75,1,40,5,45,3,45,4,50,3,40,2,50,1,19,6,80,2,50,5,66,4,50,1,60,2,45,2,71,3,9,5,55,2,60,1,2,2,5,1,3,4,5,4,5,3,4,3,4,5,4,3,4,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,,,,,,22,1,,,,,,,,,5,,1,0.565665862,-1.18357416,0.991182885,0.560678321,1,-1.134493552,1.00243035,-1.124490592,0,-1.124490592,0.993591806,-1.137250769,-1.127223498,0.560678321,-1.173138451,-0.669507498,-0.663604373,0.991182885,-1.134493552,-0.563093669,0.978670172,0.35495583,0.651034281,-0.472046864,0.660940562,0.32534616,-0.346245131,-0.67765164,0.565665862,0.496482721,0.089736417,0.087345295,0.690838011,-0.200005939,1.183353031,-1.987374505,1.205982575,0.356729272,,,,,,,,,,,,,,,,,,,,,1.00243035,0.574276608,-0.847634748,0.196016805,-0.434140193,1.475888268,0.620231142,-0.5585146,-0.738829062,1.443364876,-1.18357416,0.752236197,-0.738557254,-1.136555032,-1.090790559,0.106315788,-0.316765156,0.800167205,-0.601811707,-0.76077309,,,,,,,,,,,,,,,,,,,,,0.645294037,-0.430312329,-0.282640148,-0.280148078,-0.558128807,0.569213146,-0.323371522,-0.320520318,0.970041124,-0.840161055,-0.829554845,-0.822240564,0.351826144,0.194288502,0.069577308,0.068963837,-0.467884772,1.462875191,-0.696688428,-0.690545646,0.655112973,0.614762492,0.409935919,0.406321467,0.322477546,-0.553590112,-0.181710581,-0.180108418,-0.343192248,-0.732314721,0.255815966,0.253560407,-0.671676708,1.430638562,-0.978098576,-0.969474568,0.088945201,-0.732045309,-0.066275482,-0.065691123
5,9/14/22 12:53,9/14/22 12:57,0,100,204,1,9/14/22 12:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,4,40,1,20,1,100,6,40,1,50,1,50,4,30,3,90,4,50,5,80,6,80,6,50,1,90,5,50,4,60,2,71,3,20,2,70,5,0,5,4,4,5,1,5,4,4,4,2,4,2,3,5,3,3,2,5,5,1,4,2,2,,1,,,,,29,1,,,,,,,,,2,,0,,,-0.888936152,,,,,,,,,,,,,,,-0.888936152,,,,,,,,,,,,,,,,,,,,,0.760915726,-0.08287503,-0.776322195,1.271720612,-0.312033253,0.216213297,0.653012601,-0.282718708,1.311736636,1.429780039,1.759028695,1.163394459,0.147470877,2.153142521,-0.08792601,0.454039651,0.96886244,-1.591155844,1.379801049,-1.119930001,,,,,,,,,,,,,,,,,,,,,1.462337921,-0.829560245,-1.316764736,1.10718139,-0.738448022,-0.683646225,-0.585041989,-0.016548244,0.36800606,0.464989494,1.193603426,1.136638091,-0.5272441,1.662978269,0.054175574,-0.302316895,-0.012780555,-1.065601622,0.460626284,0.442267934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9/14/22 12:53,9/14/22 12:58,0,100,270,1,9/14/22 12:58,28,3,46,6,81,1,36,5,49,3,56,3,40,1,34,4,59,1,32,4,80,3,49,1,67,5,40,2,50,3,61,1,50,4,73,5,31,1,59,1,5,2,7,3,5,5,7,3,4,5,3,7,3,5,3,5,3,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,,,,21,1,,,1,,,,,,3,,0,0.565665862,-0.523421786,-1.358965911,-0.768720623,0,-0.502514991,-0.465583765,0.682900743,1,0.682900743,0.632712465,0.233962821,-0.317947499,-0.768720623,0.711312364,-0.296081836,0.402365121,-1.358965911,-0.502514991,-0.154856282,1.409145735,0.113897915,0.872830965,0.234775731,0.01180251,-0.006625101,0.505885586,0.05627304,0.565665862,0.425589393,0.152188113,-0.699526314,-0.026222605,1.104518284,-0.142860754,0.758926817,-0.362789005,0.287315327,,,,,,,,,,,,,,,,,,,,,-0.465583765,0.574276608,-0.847634748,0.196016805,-0.434140193,0.654177502,-0.970237097,0.758897701,-0.738829062,0.016165687,-0.523421786,-1.852144586,-0.004749564,-0.401836402,-0.356467503,-0.73603238,0.436161254,0.800167205,-1.265953912,-0.76077309,,,,,,,,,,,,,,,,,,,,,-1.186147528,0.589981723,-0.378931004,0.514954317,0.210444408,-0.780422334,-0.08893034,0.120853301,-1.914981017,1.151906728,-1.194440891,1.623204453,-0.154783384,-0.266380156,0.022325905,-0.030340144,-0.319052215,-0.889004925,0.153585001,-0.208716781,-0.016039209,1.318519141,-0.011451233,0.015561835,0.009003286,-1.031316105,-0.005027774,0.006832573,-0.687481266,1.004043509,-0.373762973,0.507931139,-0.076473143,-0.021968617,0.000909692,-0.001236241,-0.206818458,0.006454496,-0.000722827,0.000982298
7,9/14/22 12:53,9/14/22 13:00,0,100,386,1,9/14/22 13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,1,36,1,27,1,50,3,23,1,50,1,50,1,26,2,67,2,24,1,75,3,78,4,50,1,50,1,71,4,75,1,79,1,50,1,31,1,0,1,2,4,4,2,4,4,2,4,1,3,1,1,4,2,2,2,3,2,1,2,2,2,1,,,,,,22,1,,,,,,,,,3,,0,,,-0.888936152,,,,,,,,,,,,,,,-0.888936152,,,,,,,,,,,,,,,,,,,,,1.652026157,-0.394099914,-0.430005073,-1.278032705,-1.556113883,0.216213297,0.653012601,-0.54977915,0.179026304,0.076144139,1.395866752,1.059628596,0.147470877,0.164380569,0.896204174,1.570948088,1.561806253,0.21114957,-0.238889717,-1.119930001,,,,,,,,,,,,,,,,,,,,,-0.932692561,-0.829560245,-1.316764736,-0.973867713,-0.738448022,-0.683646225,-2.830140622,-0.739942895,-0.873508889,-2.293498905,-1.022744871,-0.338828691,-0.5272441,-1.225476206,0.054175574,-1.116450991,-1.582232769,-1.672539837,-2.56423509,-2.06052019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9/14/22 12:55,9/14/22 13:00,0,100,326,1,9/14/22 13:00,27,4,29,6,69,4,19,5,28,6,61,3,40,2,68,4,63,1,34,5,66,4,25,6,31,6,63,2,66,5,69,1,29,3,27,5,38,2,33,3,4,3,5,3,3,5,4,2,5,4,5,2,5,4,4,5,4,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,,,,,,43,1,,,,,,,,,3,,1,-0.283421757,0.136730589,0.521153126,-0.147706135,0,-0.565712847,0.268423293,-0.294823019,0,-0.294823019,0.139889638,-0.151850505,-0.079137365,-0.147706135,0.071257574,-0.038752424,-0.020195947,0.521153126,-0.565712847,-1.311528878,0.548194609,-0.910598226,-0.291601628,0.556058729,0.01180251,1.874545379,0.884610349,0.169184529,-0.283421757,-1.275850466,-2.096072937,1.110278386,1.121074381,1.756780395,-1.46907454,-1.214977259,0.094769373,-1.51744725,,,,,,,,,,,,,,,,,,,,,0.268423293,0.574276608,1.73709358,0.196016805,1.446457746,0.654177502,-0.175002978,0.758897701,-0.738829062,0.729765281,0.136730589,1.403331393,0.729058125,-0.401836402,1.112178609,-0.73603238,-0.316765156,0.800167205,-0.601811707,1.020127552,,,,,,,,,,,,,,,,,,,,,-0.1519691,0.753825976,-0.421789434,-0.219816882,-0.683507375,0.29928605,-0.753180356,-0.392522297,0.285693334,0.905291749,0.952265335,0.496276056,-0.474561112,0.102154771,-0.178492555,-0.093021953,0.289791745,0.34092665,0.36376111,0.18957524,0.006150915,-0.091203349,-0.002065474,-0.001076428,0.976925184,0.395501909,1.422588178,0.741386276,0.461017448,-0.385043075,-0.653575834,-0.340613089,0.088171046,0.380319457,0.123464996,0.064344168,-1.092374963,0.379950921,-1.528159005,-0.796404842
9,9/14/22 12:58,9/14/22 13:03,0,100,329,1,9/14/22 13:03,17,6,43,6,72,2,16,6,18,5,28,4,73,2,13,5,69,2,14,6,85,2,14,5,24,5,28,4,70,2,19,2,60,3,78,5,57,3,20,1,3,1,5,2,2,5,5,4,5,2,5,2,3,4,1,4,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,1,,,,,43,1,,,,,,,,,2,,1,0.86891144,-1.18357416,0.521153126,0.452835913,1,-1.197691408,1.736437407,-0.624180621,0,-0.624180621,0.904949783,-2.079716164,-1.083850579,0.452835913,-0.616823373,-1.028421128,-0.535964886,0.521153126,-1.197691408,-0.358974975,0.76343239,-1.091391663,-0.846093339,-1.564409056,2.153958081,-1.168524515,1.452697494,-0.959930364,0.86891144,-2.055677069,-2.533234808,-1.643772244,1.407898627,-2.319857801,0.488669619,0.973481607,1.33671354,-2.419828538,,,,,,,,,,,,,,,,,,,,,1.736437407,0.574276608,0.013941361,1.037255593,0.819591766,1.475888268,-0.175002978,1.417603851,0.275829516,1.443364876,-1.18357416,0.752236197,-0.004749564,1.067600856,-1.090790559,0.106315788,-0.316765156,0.800167205,0.062330498,-0.76077309,,,,,,,,,,,,,,,,,,,,,-0.440944188,0.427132811,-0.693451134,-0.361394226,-0.18708093,0.29928605,-0.206150931,-0.107436202,0.397865177,0.007265584,0.010643287,0.005546782,-0.568782177,0.540568994,-1.132052107,-0.589972494,-0.815296669,0.769163784,-2.308892971,-1.203286789,1.122541987,-0.091203349,-0.376949078,-0.19644819,-0.608980203,0.738788678,-1.656504852,-0.863292681,0.75707784,0.143749415,0.400696847,0.208824414,-0.50027071,0.752214117,-1.38552977,-0.722073171,-1.320203238,-0.00247525,0.012031762,0.00627039
