DummyID,StartDate,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,DistributionChannel,UserLanguage,Ideology,PolParty,VigAtts__1,Gender__1,Gender__2,Gender__3,Gender__4,Gender__5,Gender__5_TEXT,Age,Race__1,Race__2,Race__3,Race__4,Race__5,Race__6,Race__7,Race__8,Race__9,Education_,Open_,PROLIFIC_PID,SlantProf,PolitProf,SlantPolice,PolitPolice,ProfCond,PoliceCond,ACProfPass,ACPolicePass,filter_$,TrustProf,TrustPolice,FundProf,AdviceProf,DeferProf,SupportProf,FundPolice,AdvicePolice,DeferPolice,SupportPolice
0,1/29/23 11:08,1/29/23 11:10,0,100,127,1,1/29/23 11:10,anonymous,EN,3,4,40, , , ,1, , ,22,1, , , , , , , , ,3, , ,2,3, , ,-1, ,1, ,1,4, ,4,4,4,4, , , , 
1,1/29/23 11:08,1/29/23 11:11,0,100,178,1,1/29/23 11:11,anonymous,EN,3,4,50,1, , , , , ,56,1, , , , , , , , ,4,None., ,3,5, , ,1, ,1, ,1,1, ,5,3,4,4, , , , 
2,1/29/23 11:09,1/29/23 11:12,0,100,164,1,1/29/23 11:12,anonymous,EN,3,2,84, ,1, , , , ,45, , ,1, , , , , , ,6, , , , ,6,6, ,1, ,1,1, ,1, , , , ,1,1,1,1
3,1/29/23 11:11,1/29/23 11:13,0,100,80,1,1/29/23 11:13,anonymous,EN,1,3,74,1, ,1, , , ,20, , , ,1, , , , , ,3, , ,2,3, , ,0, ,1, ,1,3, ,4,4,4,4, , , , 
4,1/29/23 11:11,1/29/23 11:13,0,100,114,1,1/29/23 11:13,anonymous,EN,1,3,65, , ,1, , , ,34,1, , , , , , , , ,6, , , , ,6,6, ,-1, ,1,1, ,2, , , , ,3,2,2,2.333333333
5,1/29/23 11:12,1/29/23 11:13,0,100,78,1,1/29/23 11:13,anonymous,EN,3,3,69,1, , , , , ,22,1, , , , , , , , ,5, , , ,4, , ,-1, ,1, ,1,4, ,3,3,4,3.333333333, , , , 
6,1/29/23 11:11,1/29/23 11:14,0,100,160,1,1/29/23 11:14,anonymous,EN,5,1,21, ,1, , , , ,42,1, , , , , , , , ,5, , , , ,6,5, ,0, ,1,1, ,3, , , , ,3,2,3,2.666666667
7,1/29/23 11:10,1/29/23 11:14,0,100,277,1,1/29/23 11:14,anonymous,EN,4,3,20, ,1, , , , ,48,1, , , , , , , , ,6,Some questions were vague and hard to understand., ,2,4, , ,0, ,1, ,1,3, ,4,4,3,3.666666667, , , , 
8,1/29/23 11:11,1/29/23 11:15,0,100,196,1,1/29/23 11:15,anonymous,EN,1,2,70,1, , , , , ,36,1, , , , , , , , ,5, , , , ,6,6, ,0, ,1,1, ,2, , , , ,1,1,1,1
9,1/29/23 11:10,1/29/23 11:15,0,100,241,1,1/29/23 11:15,anonymous,EN,3,1,30,1, , , , , ,33,1, , , , , , , , ,5, , , , ,6,5, ,-1, ,1,1, ,4, , , , ,3,3,3,3
10,1/29/23 11:14,1/29/23 11:16,0,100,132,1,1/29/23 11:16,anonymous,EN,2,2,53, ,1, , , , ,28,1, , , , , , , , ,5, , , , ,6,6, ,1, ,1,1, ,2, , , , ,1,1,2,1.333333333
11,1/29/23 11:14,1/29/23 11:16,0,100,139,1,1/29/23 11:16,anonymous,EN,3,2,60, ,1, , , , ,20, , , ,1, , , , , ,3, , , , ,6,4, ,-1, ,1,1, ,4, , , , ,4,2,3,3
12,1/29/23 11:11,1/29/23 11:16,0,100,292,1,1/29/23 11:16,anonymous,EN,1,2,61, ,1, , , , ,32,1, , , , , , , , ,2, , ,2,4, , ,1, ,1, ,1,5, ,5,6,5,5.333333333, , , , 
13,1/29/23 11:12,1/29/23 11:17,0,100,302,1,1/29/23 11:17,anonymous,EN,4,3,20,1, , , , , ,24,1, , , , , , , , ,2, , , , ,6,3, ,0, ,1,1, ,4, , , , ,3,3,3,3
14,1/29/23 11:15,1/29/23 11:17,0,100,96,1,1/29/23 11:17,anonymous,EN,1,2,40, ,1, , , , ,20,1,1, , , , , , , ,3, , ,3,2, , ,-1, ,1, ,1,5, ,4,5,4,4.333333333, , , , 
15,1/29/23 11:15,1/29/23 11:18,0,100,142,1,1/29/23 11:18,anonymous,EN,4,3,70, ,1, , , , ,30, ,1, , , , , , , ,6, , ,2,6, , ,1, ,1, ,1,4, ,3,2,3,2.666666667, , , , 
16,1/29/23 11:16,1/29/23 11:18,0,100,126,1,1/29/23 11:18,anonymous,EN,1,2,91,1, , , , , ,34,1, , , , , , , , ,5,Everything was clear!, , , ,7,6, ,0, ,1,1, ,1, , , , ,1,2,1,1.333333333
17,1/29/23 11:13,1/29/23 11:19,0,100,378,1,1/29/23 11:19,anonymous,EN,4,3,51,1, , , , , ,50,1, , , , , , , , ,2, , , , ,6,3, ,1, , , , ,3, , , , ,4,2,3,3
18,1/29/23 11:15,1/29/23 11:21,0,100,363,1,1/29/23 11:21,anonymous,EN,1,2,63,1, , , , , ,32, , ,1, , , , , , ,6, , ,1,1, , ,0, ,1, ,1,4, ,5,5,4,4.666666667, , , , 
19,1/29/23 11:20,1/29/23 11:23,0,100,131,1,1/29/23 11:23,anonymous,EN,1,2,71, ,1, , , , ,28, ,1, , , , , , , ,4, , ,1,3, , ,0, ,1, ,1,3, ,2,2,4,2.666666667, , , , 
20,1/29/23 11:22,1/29/23 11:23,0,100,107,1,1/29/23 11:23,anonymous,EN,4,1,55, ,1, , , , ,26,1, , , , , , , , ,4, , , , ,6,4, ,-1, ,1,1, ,3, , , , ,4,2,2,2.666666667
21,1/29/23 11:21,1/29/23 11:24,0,100,213,1,1/29/23 11:24,anonymous,EN,1,4,51, ,1, , , , ,26,1, , , , , , , , ,4, , , , ,7,6, ,1, ,1,1, ,1, , , , ,1,1,2,1.333333333
22,1/29/23 11:22,1/29/23 11:25,0,100,188,1,1/29/23 11:25,anonymous,EN,2,2,61, ,1, , , , ,36,1,1, , , , , , , ,3, , ,3,1, , ,0, ,1, ,1,4, ,4,4,4,4, , , , 
23,1/29/23 11:21,1/29/23 11:25,0,100,253,1,1/29/23 11:25,anonymous,EN,3,3,60, , ,1, , , ,29,1, , , , , , , , ,5, , ,2,3, , ,1, ,1, ,1,4, ,3,4,3,3.333333333, , , , 
24,1/29/23 11:23,1/29/23 11:25,0,100,161,1,1/29/23 11:25,anonymous,EN,3,2,31,1, , , , , ,28,1, , , , , , , , ,4, , ,2,2, , ,-1, ,1, ,1,5, ,5,4,4,4.333333333, , , , 
