DummyID,Rang_ControlT_First_Click,Rang_ControlT_Last_Click,Rang_ControlT_Page_Submit,Rang_ControlT_Click_Count,Polit_Rang,Trust_Rang,Fund_Rang,Advice_Rang,Defer_Rang,Range_TrumpT_First_Click,Range_TrumpT_Last_Click,Range_TrumpT_Page_Submit,Range_TrumpT_Click_Count,Polit_Rang.0,Trust_Rang.0,Fund_Rang.0,Advice_Rang.0,Defer_Rang.0,Rang_BidenT_First_Click,Rang_BidenT_Last_Click,Rang_BidenT_Page_Submit,Rang_BidenT_Click_Count,Polit_Rang.1,Trust_Rang.1,Fund_Rang.1,Advice_Rang.1,Defer_Rang.1,PolitAllRang,TrustAllRang,FundAllRang,AdviceAllRang,DeferALlRang,Donate,Ideology,PolParty,Vote,VigAtts__1,Gender__1,Gender__2,Gender__3,Gender__4,Gender__5,Gender__5_TEXT,Age,Race__1,Race__2,Race__3,Race__4,Race__5,Race__6,Race__7,Race__8,Race__9,Education_,Open_,PolitRang,RangContCond,RangBidenCond,RangTrumpCond,RangCond,TrustRang,AdviceRang,DeferRang,FundRang,SupportRang,SupportAllRang,TrumpDummy,BidenDummy,TrumpxIdeo,BidenxIdeo,ZIdeology,Ideo_2,Condition
1,1.538,178.232,179.193,38,1,6,5,5,5,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,1,5,4,5,5,1,3,3,3,10,1,NA,NA,NA,NA,,35,1,NA,NA,NA,NA,NA,NA,NA,NA,3,,1,2,0,0,0,6,5,5,5,5,4.666666667,0,0,0,0,-0.125489108,-1,Control
2,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,72.691,104.884,108.599,5,3,5,5,5,4,2,5,5,5,4,1,1,2,2,50,1,NA,NA,NA,NA,,32,NA,NA,NA,1,NA,NA,NA,NA,NA,4,No comments. The instructions were clear,3,0,-1,0,-1,5,5,4,5,4.666666667,4.666666667,0,1,0,-1.299294923,-1.299294923,-3,Biden
3,41.914,79.764,80.629,17,2,5,4,5,4,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,2,5,4,5,4,1,2,2,2,50,NA,1,NA,NA,NA,,35,1,NA,NA,NA,NA,NA,NA,NA,NA,5,,2,2,0,0,0,5,5,4,4,4.333333333,4.333333333,0,0,0,0,-0.712392015,-2,Control
4,NA,NA,NA,NA,0,0,0,0,0,30.983,176.059,177.252,25,6,1,1,1,1,NA,NA,NA,NA,0,0,0,0,0,6,3,3,2,1,1,2,2,2,25,NA,1,NA,NA,NA,,37,1,NA,NA,NA,NA,NA,NA,NA,NA,6,,6,0,0,1,1,1,1,1,1,1,2,1,0,-0.712392015,0,-0.712392015,-2,Trump
5,NA,NA,NA,NA,0,0,0,0,0,0.803,65.734,66.805,36,4,2,2,1,3,NA,NA,NA,NA,0,0,0,0,0,3,5,5,5,4,1,2,2,2,66,NA,1,NA,NA,NA,,19,1,NA,NA,1,NA,NA,NA,NA,NA,3,,4,0,0,1,1,2,1,3,2,2,4.666666667,1,0,-0.712392015,0,-0.712392015,-2,Trump
6,1.024,43.209,44.252,23,1,4,5,4,4,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,2,4,5,4,4,2,3,2,2,57,1,NA,NA,NA,NA,,24,1,NA,NA,NA,NA,NA,NA,NA,NA,3,,1,2,0,0,0,4,4,4,5,4.333333333,4.333333333,0,0,0,0,-0.125489108,-1,Control
7,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,3.653,48.769,49.739,18,3,5,5,4,3,3,5,5,5,3,2,4,3,2,50,NA,1,NA,NA,NA,,19,1,NA,NA,NA,NA,NA,NA,NA,NA,2,,3,0,-1,0,-1,5,4,3,5,4,4.333333333,0,1,0,0.461413799,0.461413799,0,Biden
8,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,62.861,83.7,85.863,5,3,4,3,4,4,2,3,3,4,4,1,3,3,3,50,1,NA,NA,NA,NA,,30,1,NA,NA,NA,NA,NA,NA,NA,NA,3,,3,0,-1,0,-1,4,4,4,3,3.666666667,3.666666667,0,1,0,-0.125489108,-0.125489108,-1,Biden
9,NA,NA,NA,NA,0,0,0,0,0,4.747,89.267,90.551,46,5,1,6,2,3,NA,NA,NA,NA,0,0,0,0,0,4,3,4,4,3,2,1,2,3,65,1,1,1,NA,NA,,22,1,1,NA,NA,NA,NA,NA,NA,NA,2,,5,0,0,1,1,1,2,3,6,3.666666667,3.666666667,1,0,-1.299294923,0,-1.299294923,-3,Trump
10,7.102,65.651,66.496,21,2,5,5,6,5,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,2,5,5,6,5,2,2,2,2,91,1,NA,NA,NA,NA,,69,1,NA,NA,NA,NA,NA,NA,NA,NA,5,,2,2,0,0,0,5,6,5,5,5.333333333,5.333333333,0,0,0,0,-0.712392015,-2,Control
11,12.878,18.08,19.747,6,2,3,2,4,2,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,2,4,2,4,3,2,4,2,2,65,1,NA,NA,NA,NA,,25,NA,NA,NA,1,NA,NA,NA,NA,NA,5,,2,2,0,0,0,3,4,2,2,2.666666667,3,0,0,0,0,0.461413799,0,Control
12,15.167,24.672,26.14,5,6,6,6,6,4,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,1,4,6,5,4,1,2,2,2,33,NA,1,NA,NA,NA,,51,1,NA,NA,NA,NA,NA,NA,NA,NA,3,,6,2,0,0,0,6,6,4,6,5.333333333,5,0,0,0,0,-0.712392015,-2,Control
13,NA,NA,NA,NA,0,0,0,0,0,53.185,74.498,75.192,10,3,3,4,2,3,NA,NA,NA,NA,0,0,0,0,0,2,3,4,2,3,3,5,1,1,16,1,NA,NA,NA,NA,,31,1,NA,NA,NA,NA,NA,NA,NA,NA,4,,3,0,0,1,1,3,2,3,4,3,3,1,0,1.048316706,0,1.048316706,1,Trump
14,NA,NA,NA,NA,0,0,0,0,0,30.411,51.946,54.203,11,5,3,3,2,5,NA,NA,NA,NA,0,0,0,0,0,5,2,3,2,5,3,4,3,3,34,NA,1,NA,NA,NA,,41,1,NA,NA,NA,NA,NA,NA,NA,NA,5,,5,0,0,1,1,3,2,5,3,3.333333333,3.333333333,1,0,0.461413799,0,0.461413799,0,Trump
15,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,139.8,189.152,190.418,5,4,3,5,5,4,4,5,5,4,4,2,2,2,2,55,1,NA,NA,NA,NA,,30,1,1,NA,NA,NA,NA,NA,NA,NA,3,,4,0,-1,0,-1,3,5,4,5,4.666666667,4.333333333,0,1,0,-0.712392015,-0.712392015,-2,Biden
16,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,55.672,235.037,235.424,18,1,3,4,3,4,1,4,4,3,4,1,7,2,1,65,NA,1,NA,NA,NA,,44,1,NA,NA,NA,NA,NA,NA,NA,NA,4,,1,0,-1,0,-1,3,3,4,4,3.666666667,3.666666667,0,1,0,2.22212252,2.22212252,3,Biden
17,12.964,84.504,85.504,23,3,6,4,4,5,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,2,6,4,4,4,1,2,2,2,66,NA,1,NA,NA,NA,,33,1,NA,NA,NA,NA,NA,NA,NA,NA,4,,3,2,0,0,0,6,4,5,4,4.333333333,4,0,0,0,0,-0.712392015,-2,Control
18,24.568,48.072,50.386,5,2,4,4,4,3,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,2,4,4,3,3,1,5,1,3,26,1,NA,NA,NA,NA,,29,1,NA,NA,NA,NA,NA,NA,NA,NA,4,Keep more surveys coming.,2,2,0,0,0,4,4,3,4,3.666666667,3.333333333,0,0,0,0,1.048316706,1,Control
19,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,31.184,213.299,216.55,6,6,6,6,6,2,5,5,1,6,2,1,6,1,1,49,NA,1,NA,NA,NA,,58,1,NA,NA,NA,NA,NA,NA,NA,NA,5,"very clear , no comment",6,0,-1,0,-1,6,6,2,6,4.666666667,3,0,1,0,1.635219613,1.635219613,2,Biden
20,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,93.231,147.325,150.063,8,3,4,5,4,4,2,4,5,4,4,2,4,3,2,45,1,NA,NA,NA,NA,,36,NA,NA,NA,1,NA,NA,NA,NA,NA,5,,3,0,-1,0,-1,4,4,4,5,4.333333333,4.333333333,0,1,0,0.461413799,0.461413799,0,Biden
