slant_K12,polit_K12,slant_Cong,polit_Cong,slant_fire,polit_fire,slant_journ,polit_journ,slant_WHO,polit_WHO,slant_rang,polit_rang,slant_phys,polit_phys,slant_ASPCA,polit_ASPCA,slant_dent,polit_dent,slant_prof,polit_prof,slant_police,polit_police,slant_poll,polit_poll,slant_SC,polit_SC,slant_doc,polit_doc,slant_law,polit_law,slant_USPS,polit_USPS,slant_econ,polit_econ,slant_pharm,polit_pharm,slant_sci,polit_sci,slant_MLB,polit_MLB,Trust_K12,Trust_Cong,Trust_fire,Trust_journ,Trust_WHO,Trust_rang,Trust_phys,Trust_ASPCA,Trust_dent,Trust_prof,Trust_police,Trust_poll,Trust_SC,Trust_doc,Trust_law,Trust_USPS,Trust_econ,Trust_pharm,Trust_sci,Trust_MLB,slant_mech,polit_mech,slant_chefs,polit_chefs,slant_lib,polit_lib,slant_church,polit_church,slant_vet,polit_vet,slant_tailor,polit_tailor,slant_UN,polit_UN,slant_psych,polit_psych,slant_bank,polit_bank,slant_holly,polit_holly,slant_judge,polit_judge,slant_crim,polit_crim,slant_toll,polit_toll,slant_NFL,polit_NFL,slant_CIA,polit_CIA,slant_realestate,polit_realestate,slant_localbiz,polit_localbiz,slant_think,polit_think,slant_FB,polit_FB,slant_PETA,polit_PETA,Trust_mech,Trust_chefs,Trust_lib,Trust_church,Trust_vet,Trust_tailor,Trust_UN,Trust_psych,Trust_bank,Trust_holly,Trust_judge,Trust_crim,Trust_toll,Trust_NFL,Trust_CIA,Trust_realestate,Trust_localbiz,Trust_think,Trust_FB,Trust_PETA,Ideology
40,2,40,6,70,1,15,5,30,1,40,1,10,1,30,3,50,1,30,4,90,5,50,3,80,6,50,3,50,3,30,1,60,4,85,4,10,3,75,1,4,1,7,4,7,7,7,5,4,3,1,3,1,3,3,7,3,2,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
28,6,30,6,70,5,18,6,0,6,63,5,49,3,49,3,58,2,0,6,85,4,0,6,62,2,38,3,50,1,53,1,50,2,0,6,41,4,45,3,2,1,4,1,1,4,5,2,3,1,2,1,4,4,1,3,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,1,19,2,24,3,94,5,69,1,28,2,50,3,36,3,77,4,9,5,50,3,56,2,21,1,41,1,73,2,61,2,76,2,42,2,33,3,21,3,4,4,4,2,5,5,4,4,4,5,2,3,4,3,3,5,5,4,3,3,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,4,25,2,20,5,70,6,50,2,50,2,35,5,50,4,80,5,20,6,70,6,80,6,50,1,35,2,75,5,50,3,50,3,50,5,50,4,15,5,4,4,7,3,7,5,7,7,3,3,2,2,4,2,4,4,4,4,1,1,2
18,5,40,6,75,1,40,5,45,3,45,4,50,3,40,2,50,1,19,6,80,2,50,5,66,4,50,1,60,2,45,2,71,3,9,5,55,2,60,1,2,2,5,1,3,4,5,4,5,3,4,3,4,5,4,3,4,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,4,40,1,20,1,100,6,40,1,50,1,50,4,30,3,90,4,50,5,80,6,80,6,50,1,90,5,50,4,60,2,71,3,20,2,70,5,0,5,4,4,5,1,5,4,4,4,2,4,2,3,5,3,3,2,5,5,1,4,2
28,3,46,6,81,1,36,5,49,3,56,3,40,1,34,4,59,1,32,4,80,3,49,1,67,5,40,2,50,3,61,1,50,4,73,5,31,1,59,1,5,2,7,3,5,5,7,3,4,5,3,7,3,5,3,5,3,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,1,36,1,27,1,50,3,23,1,50,1,50,1,26,2,67,2,24,1,75,3,78,4,50,1,50,1,71,4,75,1,79,1,50,1,31,1,0,1,2,4,4,2,4,4,2,4,1,3,1,1,4,2,2,2,3,2,1,2,2
27,4,29,6,69,4,19,5,28,6,61,3,40,2,68,4,63,1,34,5,66,4,25,6,31,6,63,2,66,5,69,1,29,3,27,5,38,2,33,3,4,3,5,3,3,5,4,2,5,4,5,2,5,4,4,5,4,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
17,6,43,6,72,2,16,6,18,5,28,4,73,2,13,5,69,2,14,6,85,2,14,5,24,5,28,4,70,2,19,2,60,3,78,5,57,3,20,1,3,1,5,2,2,5,5,4,5,2,5,2,3,4,1,4,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
