TrustAllRang,Donate,Ideology,Vote,RangCond,TrustRang,SupportRang,SupportAllRang
5,1,3,3,0,6,5,4.666666667
5,1,1,2,-1,5,4.666666667,4.666666667
5,1,2,2,0,5,4.333333333,4.333333333
3,1,2,2,1,1,1,2
5,1,2,2,1,2,2,4.666666667
4,2,3,2,0,4,4.333333333,4.333333333
5,2,4,2,-1,5,4,4.333333333
3,1,3,3,-1,4,3.666666667,3.666666667
3,2,1,3,1,1,3.666666667,3.666666667
5,2,2,2,0,5,5.333333333,5.333333333
4,2,4,2,0,3,2.666666667,3
4,1,2,2,0,6,5.333333333,5
3,3,5,1,1,3,3,3
2,3,4,3,1,3,3.333333333,3.333333333
5,2,2,2,-1,3,4.666666667,4.333333333
4,1,7,1,-1,3,3.666666667,3.666666667
6,1,2,2,0,6,4.333333333,4
4,1,5,3,0,4,3.666666667,3.333333333
5,1,6,1,-1,6,4.666666667,3
4,2,4,2,-1,4,4.333333333,4.333333333
6,1,1,2,0,6,5.666666667,5.666666667
4,2,1,3,1,4,3.666666667,4.333333333
3,1,7,2,1,4,3.333333333,3.333333333
5,2,5,2,-1,4,4.333333333,4.333333333
6,1,1,2,1,1,1,5
4,3,5,3,-1,2,3,4.333333333
4,2,5,1,0,4,3.333333333,3.666666667
6,1,5,1,0,6,5.666666667,4.333333333
2,1,4,2,1,2,1.333333333,1.333333333
3,1,4,3,0,3,3,4.333333333
4,1,4,2,0,4,4.333333333,3.666666667
3,1,4,2,-1,3,4,4
5,2,2,2,-1,5,4.333333333,4
6,1,4,2,1,5,4.666666667,4.666666667
5,3,1,2,0,5,5.333333333,5.333333333
4,1,3,3,1,2,2,3.666666667
4,1,1,2,1,1,1.666666667,4.666666667
5,2,1,2,0,5,4.666666667,5.666666667
3,3,4,2,-1,3,1.666666667,1.666666667
3,2,4,1,0,4,4,4
5,2,1,2,-1,5,4.666666667,4.333333333
5,1,3,3,1,3,3.666666667,4.666666667
5,2,3,2,-1,5,4.666666667,4.666666667
4,2,3,3,1,2,3,4.333333333
4,1,7,1,-1,4,3.666666667,3.666666667
5,2,3,2,0,5,4.666666667,5
5,2,2,3,-1,4,3.333333333,3.333333333
5,1,4,3,1,3,3.333333333,3.333333333
